Row,FL,X,Y,Z,X1,Y1,Z1
11,b,-20.6,2.6,20.8,-15.34,-8.45,35.52
13,b,-28.5,-3.7,21.1,-36.1,-13.48,35.19
15,b,-42.4,16.2,-11.2,-51.53,1.88,-12.98
17,b,-39.3,21.4,-10.5,-29.7,24.21,-10.23
19,b,-51.3,1.7,-6.2,-57.69,-2.26,-12.03
21,b,-54.4,-3.3,-3.8,-64.09,-12.3,-8.23
23,b,-55.6,-10.5,-5.8,-62.82,-19.47,-11.89
25,b,-60,-17,20.7,-69.55,-20.85,16.99
27,b,-56.4,-18.7,25,-46.04,-22.01,35.14
29,b,-56.7,-22.6,29.7,-63.33,-25.94,40.67
31,b,-63.4,-19.5,25.3,-68.56,-23.61,22.07
33,b,-59.7,-16.4,29.8,-68.15,-15.03,26.46
35,b,-63.4,-19,38.3,-72.35,-24.72,43.05
37,b,-59.9,-22.1,36.5,-65.06,-26.98,49.19
39,b,-58.7,-20,38.6,-59.42,-27.3,51.87
41,b,-56.1,-20.8,39.3,-53.4,-25.71,51.61
43,b,-60.3,-15.8,32,-56.27,-16.65,24.52
45,b,-74.4,-20.9,6.5,-69.1,-14.93,6.58
47,b,-80.2,-22.7,3.6,-85.45,-21.45,-6.49
49,b,-76.9,-20,5.6,-71.44,-12.5,6.52
51,b,-81.3,-22,5.7,-86.98,-21.95,4.1
53,b,-84.2,-23,8.8,-98.77,-26.58,14.43
55,b,-83.5,-16.7,9.4,-80.8,-18.39,16.53
57,b,-91.4,-21.7,6.7,-102.7,-22.16,7.56
59,b,-89.1,-20.7,5.4,-101.31,-26.15,2.25
61,b,-92.5,-18,9.2,-105.37,-24.35,13.35
63,b,-87.2,-17,11,-89.24,-20.93,18
65,b,-87,-20.9,4,-93.16,-28.08,-6.84
67,b,-42.6,8,0.6,-50.05,8.58,-8.81
69,b,-43,-4.9,11.3,-49,-3.91,26.85
71,b,-47.3,-4.1,13.4,-55.1,-6.3,12.13
73,b,-48.7,-4.8,17.5,-57.72,-8.04,15.61
75,b,-50.7,-7.7,18.3,-59.14,-16.17,21.23
77,b,-51.4,-5,21.7,-57.86,-11.81,28.04
79,b,-49.7,-11.2,25.8,-54.38,-23.55,35.05
81,b,-48.4,-8.5,26.7,-41.96,-18.96,41.58
83,b,-60.1,-6.3,20.3,-66.51,-11.48,21.96
85,b,-61.3,-8.8,19.5,-68.09,-16.38,18.16
87,b,-53.8,-7.7,22.9,-55.54,-21.83,35.53
89,b,-47.3,-4.3,24.9,-35.46,-6.51,27.01
91,b,-46.5,-0.6,25.9,-41.87,1.47,25.02
93,b,-46.3,-6.2,30,-41.42,-10.77,36.2
95,b,-47.6,-4.6,30.3,-47.5,-7.01,34.83
97,b,-49.4,-2.1,30.1,-55.13,-2.14,29.79
99,b,-49.7,-1.5,32.3,-54.46,-0.58,37.85
101,b,-46.9,-2.2,33.9,-41.81,-3.04,41.85
103,b,-58.4,-6.1,28.2,-67.67,-11.41,28.99
105,b,-55.1,-4.3,28.9,-52.05,-0.25,34.24
107,b,-61.3,-5.2,31.8,-68.7,-8.8,29.92
109,b,-56.5,-7.8,42.5,-54.08,-19.07,52.52
111,b,-54.5,-6.3,42.6,-46.23,-17.07,49.03
113,b,-64.4,-7.2,43.4,-72.49,-18.49,51.13
115,b,-55.6,-1.2,42.4,-44.52,-0.16,42.96
117,b,-63.6,-1,38.3,-71.12,-7.95,28.45
119,b,-64.5,2.1,41.3,-69.7,2.35,41.09
