Row,FL,X,Y,Z,X1,Y1,Z1
1,a, -469.7, 128.0, 600.7,-467.78, 141.66, 596.57
3,a, -471.7, 126.4, 602.5,-486.40, 124.62, 606.46
5,a, -472.8, 139.2, 617.5,-476.97, 139.19, 622.70
7,a, -463.8, 127.4, 614.0,-465.56, 126.02, 606.40
9,a, -464.0, 131.2, 612.9,-462.62, 139.98, 612.85
11,a, -465.2, 129.1, 612.6,-461.48, 129.07, 611.05
13,a, -472.7, 137.1, 619.1,-473.55, 137.99, 623.34
15,a, -470.9, 132.3, 603.3,-467.38, 137.86, 609.50
17,a, -459.2, 127.9, 584.0,-454.93, 135.53, 581.04
19,a, -475.4, 120.1, 571.7,-473.10, 118.54, 562.85
21,a, -462.9, 121.6, 570.8,-452.84, 128.16, 564.58
23,a, -472.0, 123.0, 564.1,-481.36, 125.09, 560.14
25,a, -459.1, 127.9, 562.1,-446.82, 136.15, 559.03
27,a, -463.8, 121.1, 567.1,-474.72, 111.46, 580.11
29,a, -458.8, 126.7, 561.0,-453.82, 134.67, 555.04
31,a, -457.2, 124.0, 562.6,-446.32, 132.64, 558.26
33,a, -462.0, 122.3, 563.1,-464.51, 123.34, 560.98
35,a, -466.6, 128.8, 599.2,-468.17, 129.37, 602.81
37,a, -463.7, 123.0, 589.1,-460.27, 127.81, 586.54
39,a, -463.7, 120.2, 592.2,-456.74, 116.68, 592.54
41,a, -456.9, 125.2, 584.3,-456.31, 131.45, 581.41
43,a, -455.7, 117.8, 592.1,-460.51, 121.24, 604.80
45,a, -453.0, 113.4, 577.8,-445.90, 125.54, 575.05
47,a, -458.3, 109.2, 576.8,-454.54, 109.26, 568.20
49,a, -456.6, 108.8, 579.3,-450.59, 102.51, 577.59
51,a, -453.2, 111.9, 574.7,-447.29, 119.52, 568.67
53,a, -456.3, 111.9, 578.7,-453.51, 113.53, 580.61
55,a, -468.6, 129.6, 587.1,-467.71, 142.14, 592.06
57,a, -465.3, 133.5, 586.6,-460.87, 140.09, 586.43
59,a, -464.8, 134.6, 588.2,-465.19, 136.86, 589.88
61,a, -481.3, 130.9, 590.6,-478.49, 137.70, 589.54
63,a, -476.7, 115.6, 577.1,-458.59, 115.36, 588.19
65,a, -480.7, 136.8, 580.4,-480.17, 135.65, 579.95
67,a, -480.4, 137.3, 572.3,-483.96, 138.71, 568.25
69,a, -478.9, 127.5, 576.7,-486.06, 124.08, 584.31
71,a, -476.7, 132.5, 560.2,-472.05, 140.36, 552.03
73,a, -485.8, 122.5, 562.7,-500.70, 122.12, 562.80
75,a, -482.4, 125.1, 556.1,-468.90, 138.34, 554.58
77,a, -482.3, 124.3, 559.5,-482.72, 130.59, 551.08
79,a, -477.7, 126.7, 551.3,-474.16, 132.99, 549.12
81,a, -475.9, 123.2, 552.8,-468.46, 127.56, 551.85
83,a, -488.2, 113.9, 554.8,-499.50, 111.35, 558.98
85,a, -473.8, 120.0, 556.8,-479.70, 109.01, 554.87
87,a, -477.0, 115.2, 551.2,-485.00, 105.39, 541.29
89,a, -471.0, 119.4, 546.0,-465.08, 133.13, 545.19
91,a, -467.8, 122.4, 548.6,-467.67, 126.24, 543.71
93,a, -476.7, 112.2, 549.8,-485.80, 104.87, 547.92
95,a, -479.7, 118.7, 540.5,-492.61, 129.89, 532.84
97,a, -472.0, 125.9, 541.7,-469.89, 129.13, 539.38
99,a, -465.0, 124.8, 540.4,-457.01, 131.13, 539.59
101,a, -471.8, 119.0, 540.6,-486.56, 128.47, 543.06
103,a, -483.5, 129.7, 540.2,-485.29, 137.15, 538.24
105,a, -464.9, 125.3, 534.8,-467.48, 136.68, 528.45
107,a, -465.8, 125.3, 531.9,-464.10, 135.07, 522.96
109,a, -474.4, 120.9, 522.7,-473.98, 124.37, 519.42
111,a, -472.8, 122.1, 549.2,-468.52, 116.45, 549.61
113,a, -475.3, 122.7, 549.6,-473.90, 126.39, 546.95
115,a, -471.5, 115.0, 546.2,-470.49, 105.77, 544.50
117,a, -475.1, 120.3, 537.6,-474.51, 122.45, 526.04
119,a, -466.8, 111.8, 537.9,-460.49, 119.97, 535.27
121,a, -465.9, 108.3, 531.7,-460.58, 119.95, 526.87
123,a, -478.2, 101.4, 526.8,-486.68, 119.01, 524.43
125,a, -465.2, 109.0, 530.4,-460.00, 121.20, 525.81
127,a, -467.4, 106.0, 529.7,-466.85, 116.59, 518.32
129,a, -471.7, 104.1, 531.7,-474.48, 99.62, 525.58
131,a, -467.2, 105.0, 534.2,-458.77, 117.75, 535.72
133,a, -477.8, 131.2, 565.3,-480.90, 148.92, 558.47
135,a, -482.1, 134.5, 557.9,-478.21, 139.52, 553.78
137,a, -495.1, 134.6, 559.7,-498.34, 140.16, 559.18
139,a, -489.7, 133.8, 556.8,-481.49, 143.15, 551.83
141,a, -511.4, 121.8, 562.1,-517.86, 129.20, 558.34
143,a, -508.0, 110.2, 568.7,-512.63, 111.54, 551.27
145,a, -494.7, 106.5, 567.5,-478.91, 109.49, 551.19
147,a, -509.1, 123.9, 554.0,-511.55, 136.24, 551.06
149,a, -508.5, 121.9, 555.0,-509.81, 125.30, 552.86
151,a, -502.1, 122.5, 552.9,-500.92, 125.31, 552.47
153,a, -507.7, 122.3, 553.9,-509.17, 124.91, 554.60
